Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
ABILENE PUB LIBR	TXB	TX	Public	5	0	0	1	1	0	4	0	0:00:00	0:00:00	0:00:00
ADA COMMUN LIBR	ZRK	ID	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
ADELPHI UNIV	VJA	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ADRIAN COL	EEA	MI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AIRWAY HEIGHTS CORR CTR LIBR	XQQ	WA	State or Municipal Governments	7	7	0	4	4	0	3	0	1:06:00	1:06:00	0:00:00
ALACHUA CNTY LIBR DIST	FMG	FL	Public	4	4	0	2	2	0	3	0	0:12:00	0:12:00	0:00:00
ALASKA 1-800	ALASK	AK	State or Municipal Governments	8	8	0	2	2	0	6	0	2:12:00	2:12:00	0:00:00
ALBANY CNTY PUB LIBR	W8A	WY	Public	2	2	0	2	2	0	0	0	2:12:00	2:12:00	0:00:00
ALBUQUERQUE BERNALILLO CNTY LIBR	QUE	NM	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ALLEN CNTY PUB LIBR	IMF	IN	Public	7	7	0	0	0	0	7	0	0:00:00	0:00:00	0:00:00
ALOHA COM LIBR	ALOHA	OR	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AMES PUB LIBR	UIB	IA	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
AMHERST COL	AMH	MA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ANACORTES PUB LIBR	XFG	WA	Public	3	3	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
ANDERSON CNTY LIBR	SAL	SC	Public	2	2	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
ANDERSON PUB LIBR	IAM	IN	Public	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
ANNE ARUNDEL CNTY PUB LIBR	A2A	MD	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
ANTIOCH UNIV LIBR	ANTCH	OH	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ANYTHINK	BYV	CO	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
ARAPAHOE LIBR DIST	CO2	CO	Public	5	5	0	0	0	0	5	0	0:00:00	0:00:00	0:00:00
ARLINGTON HEIGHTS MEM LIBR	JBL	IL	Public	4	4	0	2	2	0	2	0	0:12:00	0:12:00	0:00:00
ASOTIN CNTY LIBR	XYT	WA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AURORA PUB LIBR	JSE	IL	Public	2	2	0	1	1	0	1	0	3:00:00	3:00:00	0:00:00
AURORA PUB LIBR	COB	CO	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AUSTRALIAN NAT UNIV	ANV	AS	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AVON LAKE PUB LIBR	OH9WF	OH	Public	2	2	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
